time,temperature,humidity
2021-10-13T00:18:05Z,19.1,53.8
2021-10-13T00:18:06Z,19.1,53.8
2021-10-13T00:18:07Z,19.1,53.8
2021-10-13T00:18:08Z,19.2,53.8
2021-10-13T00:18:09Z,19.2,53.8
2021-10-13T00:18:10Z,19.3,53.9
2021-10-13T00:18:11Z,19.3,53.9
2021-10-13T00:18:12Z,19.2,53.8
2021-10-13T00:18:13Z,19.2,53.8
2021-10-13T00:18:14Z,19.2,53.8
2021-10-13T00:18:15Z,19.2,53.8
2021-10-13T00:18:16Z,19.2,53.8
2021-10-13T00:18:17Z,19.2,53.8
2021-10-13T00:18:18Z,19.2,53.8
2021-10-13T00:18:19Z,19.2,53.8
2021-10-13T00:18:20Z,19.2,53.8
2021-10-13T00:18:21Z,19.2,53.8
2021-10-13T00:18:22Z,19.2,53.8
2021-10-13T00:18:23Z,19.2,53.8
2021-10-13T00:18:24Z,19.3,53.9
2021-10-13T00:18:25Z,19.3,53.9
2021-10-13T00:18:26Z,19.2,53.8
2021-10-13T00:18:27Z,19.2,53.8
2021-10-13T00:18:28Z,19.1,53.7
2021-10-13T00:18:29Z,19.1,53.7
2021-10-13T00:18:30Z,19.2,53.8
2021-10-13T00:18:31Z,19.2,53.8
2021-10-13T00:18:32Z,19.2,53.8
2021-10-13T00:18:33Z,19.2,53.8
2021-10-13T00:18:34Z,19.2,53.8
2021-10-13T00:18:35Z,19.2,53.8
2021-10-13T00:18:36Z,19.2,53.8
2021-10-13T00:18:37Z,19.2,53.8
2021-10-13T00:18:38Z,19.2,53.8
2021-10-13T00:18:39Z,19.2,53.8
2021-10-13T00:18:40Z,19.2,53.8
2021-10-13T00:18:41Z,19.2,53.8
2021-10-13T00:18:42Z,19.2,53.8
2021-10-13T00:18:43Z,19.2,53.8
2021-10-13T00:18:44Z,19.2,53.8
2021-10-13T00:18:45Z,19.2,53.8
2021-10-13T00:18:46Z,19.2,53.8
2021-10-13T00:18:47Z,19.2,53.8
2021-10-13T00:18:48Z,19.1,53.8
2021-10-13T00:18:49Z,19.1,53.8
2021-10-13T00:18:50Z,19.1,53.8
2021-10-13T00:18:51Z,19.1,53.8
2021-10-13T00:18:52Z,19.1,53.8
2021-10-13T00:18:53Z,19.15,53.8
2021-10-13T00:18:54Z,19.15,53.8
2021-10-13T00:18:55Z,19.2,53.8
2021-10-13T00:18:56Z,19.2,53.8
2021-10-13T00:18:57Z,19.2,53.8
2021-10-13T00:18:58Z,19.2,53.8
2021-10-13T00:18:59Z,19.2,53.8
2021-10-13T00:19:00Z,19.2,53.8
2021-10-13T00:19:01Z,19.2,53.8
2021-10-13T00:19:02Z,19.2,53.8
2021-10-13T00:19:03Z,19.1,53.8
2021-10-13T00:19:04Z,19.1,53.8
2021-10-13T00:19:05Z,19.2,53.8
2021-10-13T00:19:06Z,19.2,53.8
2021-10-13T00:19:07Z,19.2,53.8
2021-10-13T00:19:08Z,19.2,53.8
2021-10-13T00:19:09Z,19.2,53.8
2021-10-13T00:19:10Z,19.2,53.8
2021-10-13T00:19:11Z,19.2,53.8
2021-10-13T00:19:12Z,19.2,53.8
2021-10-13T00:19:13Z,19.2,53.8
2021-10-13T00:19:14Z,19.2,53.8
2021-10-13T00:19:15Z,19.3,53.9
2021-10-13T00:19:16Z,19.3,53.9
2021-10-13T00:19:17Z,19.2,53.8
2021-10-13T00:19:18Z,19.2,53.8
2021-10-13T00:19:19Z,19.2,53.8
2021-10-13T00:19:20Z,19.2,53.8
2021-10-13T00:19:21Z,19.2,53.8
2021-10-13T00:19:22Z,19.2,53.8
2021-10-13T00:19:23Z,19.2,53.8
2021-10-13T00:19:24Z,19.2,53.8
2021-10-13T00:19:25Z,19.2,53.8
2021-10-13T00:19:26Z,19.2,53.8
2021-10-13T00:19:27Z,19.1,53.8
2021-10-13T00:19:28Z,19.1,53.8
2021-10-13T00:19:29Z,19.3,53.9
2021-10-13T00:19:30Z,19.3,53.9
2021-10-13T00:19:31Z,19.1,53.7
2021-10-13T00:19:32Z,19.1,53.7
2021-10-13T00:19:33Z,19.2,53.8
2021-10-13T00:19:34Z,19.2,53.8
2021-10-13T00:19:35Z,19.2,53.8
2021-10-13T00:19:36Z,19.2,53.8
2021-10-13T00:19:37Z,19.2,53.8
2021-10-13T00:19:38Z,19.2,53.8
2021-10-13T00:19:39Z,19.2,53.8
2021-10-13T00:19:40Z,19.2,53.8
2021-10-13T00:19:41Z,19.2,53.8
2021-10-13T00:19:42Z,19.2,53.8
2021-10-13T00:19:43Z,19.2,53.8
2021-10-13T00:19:44Z,19.2,53.8
2021-10-13T00:19:45Z,19.2,53.8
2021-10-13T00:19:46Z,19.2,53.8
2021-10-13T00:19:47Z,19.2,53.8
2021-10-13T00:19:48Z,19.2,53.8
2021-10-13T00:19:49Z,19.2,53.8
2021-10-13T00:19:50Z,19.2,53.8
2021-10-13T00:19:51Z,19.2,53.8
2021-10-13T00:19:52Z,19.2,53.8
2021-10-13T00:19:53Z,19.2,53.8
2021-10-13T00:19:54Z,19.2,53.9
2021-10-13T00:19:55Z,19.2,53.9
2021-10-13T00:19:56Z,19.2,53.8
2021-10-13T00:19:57Z,19.2,53.8
2021-10-13T00:19:58Z,19.2,53.8
2021-10-13T00:19:59Z,19.2,53.8
2021-10-13T00:20:00Z,19.2,53.8
2021-10-13T00:20:01Z,19.2,53.8
2021-10-13T00:20:02Z,19.2,53.8
2021-10-13T00:20:03Z,19.2,53.8
2021-10-13T00:20:04Z,19.2,53.8
2021-10-13T00:20:05Z,19.2,53.8
2021-10-13T00:20:06Z,19.2,53.8
2021-10-13T00:20:07Z,19.2,53.8
2021-10-13T00:20:08Z,19.2,53.8
2021-10-13T00:20:09Z,19.2,53.8
2021-10-13T00:20:10Z,19.2,53.8
2021-10-13T00:20:11Z,19.2,53.8
2021-10-13T00:20:12Z,19.2,53.8
2021-10-13T00:20:13Z,19.2,53.8
2021-10-13T00:20:14Z,19.1,53.8
2021-10-13T00:20:15Z,19.1,53.8
2021-10-13T00:20:16Z,19.1,53.8
2021-10-13T00:20:17Z,19.1,53.8
2021-10-13T00:20:18Z,19.2,53.8
2021-10-13T00:20:19Z,19.2,53.8
2021-10-13T00:20:20Z,19.2,53.8
2021-10-13T00:20:21Z,19.2,53.8
2021-10-13T00:20:22Z,19.2,53.8
2021-10-13T00:20:23Z,19.2,53.8
2021-10-13T00:20:24Z,19.2,53.8
2021-10-13T00:20:25Z,19.2,53.8
2021-10-13T00:20:26Z,19.2,53.8
2021-10-13T00:20:27Z,19.2,53.8
2021-10-13T00:20:28Z,19.2,53.8
2021-10-13T00:20:29Z,19.2,53.8
2021-10-13T00:20:30Z,19.2,53.8
2021-10-13T00:20:31Z,19.2,53.8
2021-10-13T00:20:32Z,19.2,53.8
2021-10-13T00:20:33Z,19.2,53.8
2021-10-13T00:20:34Z,19.2,53.8
2021-10-13T00:20:35Z,19.3,53.9
2021-10-13T00:20:36Z,19.3,53.9
2021-10-13T00:20:37Z,19.2,53.8
2021-10-13T00:20:38Z,19.2,53.8
2021-10-13T00:20:39Z,19.2,53.8
2021-10-13T00:20:40Z,19.2,53.8
2021-10-13T00:20:41Z,19.2,53.8
2021-10-13T00:20:42Z,19.2,53.8
